policy,condition,time_seconds,azimuth_deg
advanced_greedy,nullburn,3929.4500000000003,216.0
advanced_greedy,nullburn,3970.3,184.0
advanced_greedy,nullburn,4074.8500000000004,272.0
advanced_greedy,nullburn,4083.8500000000004,272.0
advanced_greedy,nullburn,4092.8500000000004,272.0
advanced_greedy,nullburn,4115.5,284.0
advanced_greedy,nullburn,4124.5,284.0
advanced_greedy,nullburn,4133.5,284.0
advanced_greedy,nullburn,4142.5,284.0
advanced_greedy,nullburn,4151.5,284.0
advanced_greedy,nullburn,4160.5,284.0
advanced_greedy,nullburn,4169.5,284.0
advanced_greedy,nullburn,4178.5,284.0
advanced_greedy,nullburn,4187.5,284.0
advanced_greedy,nullburn,4196.5,284.0
advanced_greedy,nullburn,4205.5,284.0
advanced_greedy,nullburn,4214.5,284.0
advanced_greedy,nullburn,4223.5,284.0
advanced_greedy,nullburn,4232.5,284.0
advanced_greedy,nullburn,4241.5,284.0
advanced_greedy,nullburn,4250.5,284.0
advanced_greedy,nullburn,4259.5,284.0
advanced_greedy,nullburn,4268.5,284.0
advanced_greedy,nullburn,4277.5,284.0
advanced_greedy,nullburn,4286.5,284.0
advanced_greedy,nullburn,4295.5,284.0
advanced_greedy,nullburn,4304.5,284.0
advanced_greedy,nullburn,4313.5,284.0
advanced_greedy,nullburn,4322.5,284.0
advanced_greedy,nullburn,4331.5,284.0
advanced_greedy,nullburn,4340.5,284.0
advanced_greedy,nullburn,4349.5,284.0
advanced_greedy,nullburn,4358.5,284.0
advanced_greedy,nullburn,4367.5,284.0
advanced_greedy,nullburn,4376.5,284.0
advanced_greedy,nullburn,4385.5,284.0
advanced_greedy,nullburn,4394.5,284.0
advanced_greedy,nullburn,4403.5,284.0
advanced_greedy,nullburn,4412.5,284.0
advanced_greedy,nullburn,4421.5,284.0
advanced_greedy,nullburn,4430.5,284.0
advanced_greedy,nullburn,4439.5,284.0
advanced_greedy,nullburn,4448.5,280.0
advanced_greedy,nullburn,4457.5,280.0
advanced_greedy,nullburn,4466.5,280.0
advanced_greedy,nullburn,4475.5,280.0
advanced_greedy,nullburn,4484.5,280.0
advanced_greedy,nullburn,4493.5,280.0
advanced_greedy,nullburn,4502.5,280.0
advanced_greedy,nullburn,4511.5,280.0
advanced_greedy,nullburn,4520.5,280.0
advanced_greedy,nullburn,4529.5,280.0
advanced_greedy,nullburn,4538.5,280.0
advanced_greedy,nullburn,4547.5,280.0
advanced_greedy,nullburn,4556.5,280.0
advanced_greedy,nullburn,4565.5,280.0
advanced_greedy,nullburn,4574.5,280.0
advanced_greedy,nullburn,4583.5,280.0
advanced_greedy,nullburn,4592.5,280.0
advanced_greedy,nullburn,4601.5,280.0
advanced_greedy,nullburn,4610.5,280.0
advanced_greedy,nullburn,4619.5,280.0
advanced_greedy,nullburn,4628.5,280.0
advanced_greedy,nullburn,4637.5,280.0
advanced_greedy,nullburn,4646.5,280.0
advanced_greedy,nullburn,4655.5,280.0
advanced_greedy,nullburn,4664.5,280.0
advanced_greedy,nullburn,4673.5,280.0
advanced_greedy,nullburn,4682.5,280.0
advanced_greedy,nullburn,4691.5,280.0
advanced_greedy,nullburn,4700.5,280.0
advanced_greedy,nullburn,4709.5,280.0
advanced_greedy,nullburn,4718.5,280.0
advanced_greedy,nullburn,4727.5,280.0
advanced_greedy,nullburn,4736.5,280.0
advanced_greedy,nullburn,4745.5,280.0
advanced_greedy,nullburn,4754.5,280.0
advanced_greedy,nullburn,4763.5,280.0
advanced_greedy,nullburn,4772.5,280.0
advanced_greedy,nullburn,4781.5,280.0
advanced_greedy,nullburn,4790.5,280.0
advanced_greedy,nullburn,4799.5,280.0
advanced_greedy,nullburn,4808.5,280.0
advanced_greedy,nullburn,4817.5,280.0
advanced_greedy,nullburn,4826.5,280.0
advanced_greedy,nullburn,4835.5,280.0
advanced_greedy,nullburn,4844.5,280.0
advanced_greedy,nullburn,4853.5,280.0
advanced_greedy,nullburn,4862.5,280.0
advanced_greedy,nullburn,4871.5,280.0
advanced_greedy,nullburn,4880.5,280.0
advanced_greedy,nullburn,4889.5,280.0
advanced_greedy,nullburn,4898.5,280.0
advanced_greedy,nullburn,4907.5,280.0
advanced_greedy,nullburn,4916.5,280.0
advanced_greedy,nullburn,4925.5,280.0
advanced_greedy,nullburn,4934.5,280.0
advanced_greedy,nullburn,4943.5,280.0
advanced_greedy,nullburn,4952.5,280.0
advanced_greedy,nullburn,4961.5,280.0
advanced_greedy,nullburn,4970.5,280.0
advanced_greedy,nullburn,4979.5,280.0
advanced_greedy,nullburn,4988.5,280.0
advanced_greedy,nullburn,4997.5,280.0
advanced_greedy,nullburn,5006.5,280.0
advanced_greedy,nullburn,5015.5,280.0
advanced_greedy,nullburn,5024.5,280.0
advanced_greedy,nullburn,5033.5,280.0
advanced_greedy,nullburn,5042.5,280.0
advanced_greedy,nullburn,5051.5,280.0
advanced_greedy,nullburn,5060.5,280.0
advanced_greedy,nullburn,5069.5,276.0
advanced_greedy,nullburn,5078.5,276.0
advanced_greedy,nullburn,5087.5,276.0
advanced_greedy,nullburn,5096.5,276.0
advanced_greedy,nullburn,5105.5,276.0
advanced_greedy,nullburn,5114.5,276.0
advanced_greedy,nullburn,5123.5,276.0
advanced_greedy,nullburn,5132.5,276.0
advanced_greedy,nullburn,5141.5,276.0
advanced_greedy,nullburn,5150.5,276.0
advanced_greedy,nullburn,5159.5,276.0
advanced_greedy,nullburn,5168.5,276.0
advanced_greedy,nullburn,5177.5,276.0
advanced_greedy,nullburn,5186.5,276.0
advanced_greedy,nullburn,5195.5,276.0
advanced_greedy,nullburn,5204.5,276.0
advanced_greedy,nullburn,5213.5,276.0
advanced_greedy,nullburn,5222.5,276.0
advanced_greedy,nullburn,5231.5,276.0
advanced_greedy,nullburn,5240.5,276.0
advanced_greedy,nullburn,5249.5,276.0
advanced_greedy,nullburn,5258.5,276.0
advanced_greedy,nullburn,5267.5,276.0
advanced_greedy,nullburn,5276.5,276.0
advanced_greedy,nullburn,5285.5,276.0
advanced_greedy,nullburn,5294.5,276.0
advanced_greedy,nullburn,5303.5,276.0
advanced_greedy,nullburn,5312.5,276.0
advanced_greedy,nullburn,5321.5,276.0
advanced_greedy,nullburn,5330.5,276.0
advanced_greedy,nullburn,5339.5,276.0
advanced_greedy,nullburn,5348.5,276.0
advanced_greedy,nullburn,5357.5,276.0
advanced_greedy,nullburn,5366.5,276.0
advanced_greedy,nullburn,5375.5,276.0
advanced_greedy,nullburn,5384.5,276.0
advanced_greedy,nullburn,5393.5,276.0
advanced_greedy,nullburn,5402.5,276.0
advanced_greedy,random,68.15,120.0
advanced_greedy,random,109.0,152.0
advanced_greedy,random,209.0,236.0
advanced_greedy,random,222.55,240.0
advanced_greedy,random,281.6,288.0
advanced_greedy,random,367.95000000000005,216.0
advanced_greedy,random,381.50000000000006,208.0
advanced_greedy,random,404.15000000000003,192.0
advanced_greedy,random,426.8,208.0
advanced_greedy,random,485.85,160.0
advanced_greedy,random,581.3000000000001,80.0
advanced_greedy,random,622.1500000000001,112.0
advanced_greedy,random,667.5500000000001,124.0
advanced_greedy,random,690.2,120.0
advanced_greedy,random,699.2,120.0
advanced_greedy,random,708.2,124.0
advanced_greedy,random,717.2,124.0
advanced_greedy,random,726.2,124.0
advanced_greedy,random,735.2,124.0
advanced_greedy,random,744.2,124.0
advanced_greedy,random,753.2,124.0
advanced_greedy,random,762.2,124.0
advanced_greedy,random,771.2,124.0
advanced_greedy,random,780.2,124.0
advanced_greedy,random,789.2,124.0
advanced_greedy,random,798.2,124.0
advanced_greedy,random,807.2,124.0
advanced_greedy,random,816.2,124.0
advanced_greedy,random,825.2,124.0
advanced_greedy,random,834.2,124.0
advanced_greedy,random,843.2,124.0
advanced_greedy,random,852.2,124.0
advanced_greedy,random,861.2,124.0
advanced_greedy,random,870.2,124.0
advanced_greedy,random,879.2,124.0
advanced_greedy,random,888.2,124.0
advanced_greedy,random,897.2,124.0
advanced_greedy,random,906.2,124.0
advanced_greedy,random,915.2,124.0
advanced_greedy,random,924.2,124.0
advanced_greedy,random,933.2,124.0
advanced_greedy,random,942.2,124.0
advanced_greedy,random,951.2,124.0
advanced_greedy,random,960.2,124.0
advanced_greedy,random,969.2,124.0
advanced_greedy,random,978.2,124.0
advanced_greedy,random,987.2,124.0
advanced_greedy,random,996.2,124.0
advanced_greedy,random,1005.2,124.0
advanced_greedy,random,1014.2,124.0
advanced_greedy,random,1023.2,124.0
advanced_greedy,random,1032.2,124.0
advanced_greedy,random,1041.2,124.0
advanced_greedy,random,1050.2,124.0
advanced_greedy,random,1059.2,124.0
advanced_greedy,random,1068.2,124.0
advanced_greedy,random,1077.2,124.0
advanced_greedy,random,1086.2,124.0
advanced_greedy,random,1095.2,124.0
advanced_greedy,random,1104.2,124.0
advanced_greedy,random,1113.2,124.0
advanced_greedy,random,1122.2,124.0
advanced_greedy,random,1131.2,124.0
advanced_greedy,random,1140.2,124.0
advanced_greedy,random,1149.2,124.0
advanced_greedy,random,1158.2,124.0
advanced_greedy,random,1167.2,124.0
advanced_greedy,random,1176.2,124.0
advanced_greedy,random,1185.2,124.0
advanced_greedy,random,1194.2,124.0
advanced_greedy,random,1203.2,124.0
advanced_greedy,random,1212.2,124.0
advanced_greedy,random,1221.2,124.0
advanced_greedy,random,1230.2,124.0
advanced_greedy,random,1239.2,124.0
advanced_greedy,random,1248.2,124.0
advanced_greedy,random,1257.2,124.0
advanced_greedy,random,1266.2,124.0
advanced_greedy,random,1275.2,124.0
advanced_greedy,random,1284.2,124.0
advanced_greedy,random,1293.2,124.0
advanced_greedy,random,1302.2,124.0
advanced_greedy,random,1311.2,124.0
advanced_greedy,random,1320.2,124.0
advanced_greedy,random,1329.2,124.0
advanced_greedy,random,1338.2,124.0
advanced_greedy,random,1347.2,124.0
advanced_greedy,random,1356.2,124.0
advanced_greedy,random,1365.2,124.0
advanced_greedy,random,1374.2,124.0
advanced_greedy,random,1383.2,124.0
advanced_greedy,random,1392.2,124.0
advanced_greedy,random,1401.2,124.0
advanced_greedy,random,1410.2,124.0
advanced_greedy,random,1419.2,124.0
advanced_greedy,random,1428.2,124.0
advanced_greedy,random,1437.2,124.0
advanced_greedy,random,1446.2,124.0
advanced_greedy,random,1455.2,124.0
advanced_greedy,random,1464.2,124.0
advanced_greedy,random,1473.2,124.0
advanced_greedy,random,1482.2,124.0
advanced_greedy,random,1491.2,124.0
advanced_greedy,random,1500.2,124.0
advanced_greedy,random,1509.2,124.0
advanced_greedy,random,1518.2,124.0
advanced_greedy,random,1527.2,124.0
advanced_greedy,random,1536.2,124.0
advanced_greedy,random,1545.2,120.0
advanced_greedy,random,1554.2,120.0
advanced_greedy,random,1563.2,120.0
advanced_greedy,random,1572.2,120.0
advanced_greedy,random,1581.2,120.0
advanced_greedy,random,1590.2,120.0
advanced_greedy,random,1599.2,120.0
advanced_greedy,random,1608.2,120.0
advanced_greedy,random,1617.2,120.0
advanced_greedy,random,1626.2,120.0
advanced_greedy,random,1635.2,120.0
advanced_greedy,random,1644.2,120.0
advanced_greedy,random,1653.2,120.0
advanced_greedy,random,1662.2,120.0
advanced_greedy,random,1671.2,120.0
advanced_greedy,random,1680.2,120.0
advanced_greedy,random,1689.2,120.0
advanced_greedy,random,1698.2,120.0
advanced_greedy,random,1707.2,120.0
advanced_greedy,random,1716.2,120.0
advanced_greedy,random,1725.2,120.0
advanced_greedy,random,1734.2,120.0
advanced_greedy,random,1743.2,120.0
advanced_greedy,random,1752.2,116.0
advanced_greedy,random,1761.2,116.0
advanced_greedy,random,1770.2,116.0
advanced_greedy,random,1779.2,116.0
advanced_greedy,random,1788.2,112.0
