policy,sigma_km,maneuver,pair_id,rso_id,delta_v_magnitude_mps,seconds_after_burn,nis,exceeds_chi2_p99
advanced_greedy,0,nullburn,seed_027,34,0,1333.166992,3.543862113e-05,False
advanced_greedy,0,nullburn,seed_027,26,0,1429.181519,6.46599583e-05,False
advanced_greedy,0,nullburn,seed_027,29,0,2106.665771,9.319564924e-06,False
advanced_greedy,0,nullburn,seed_027,75,0,2137.110107,2.324907473e-05,False
advanced_greedy,0,nullburn,seed_027,91,0,2824.332275,6.400643178e-05,False
advanced_greedy,0,nullburn,seed_027,65,0,3429.47583,8.768889529e-05,False
advanced_greedy,0,nullburn,seed_028,60,0,154.4689789,2.068953563e-06,False
advanced_greedy,0,nullburn,seed_028,54,0,217.7894897,2.829503683e-05,False
advanced_greedy,0,nullburn,seed_028,72,0,1282.559448,9.61787282e-06,False
advanced_greedy,0,nullburn,seed_028,83,0,1624.471924,1.499207656e-06,False
advanced_greedy,0,nullburn,seed_028,43,0,1836.559937,4.534525942e-05,False
advanced_greedy,0,nullburn,seed_028,99,0,2432.948975,6.598857453e-06,False
advanced_greedy,0,nullburn,seed_028,4,0,2598.640625,0.000112577356,False
advanced_greedy,0,nullburn,seed_028,98,0,3989.159668,2.476691225e-05,False
advanced_greedy,0,nullburn,seed_029,77,0,466.3619385,1.061145213e-05,False
advanced_greedy,0,nullburn,seed_029,7,0,1596.497559,6.208324339e-05,False
advanced_greedy,0,nullburn,seed_029,8,0,1850.750122,3.54128133e-05,False
advanced_greedy,0,nullburn,seed_030,92,0,330.7675171,3.986149386e-05,False
advanced_greedy,0,nullburn,seed_030,64,0,1048.36084,2.897272316e-05,False
advanced_greedy,0,nullburn,seed_030,70,0,1920.885254,3.541141268e-06,False
advanced_greedy,0,nullburn,seed_030,3,0,1928.869629,4.438384349e-05,False
advanced_greedy,0,nullburn,seed_030,85,0,2672.38208,6.866095191e-06,False
advanced_greedy,0,nullburn,seed_030,94,0,3697.604004,3.907354767e-05,False
advanced_greedy,0,nullburn,seed_031,51,0,353.8338928,5.997241601e-07,False
advanced_greedy,0,nullburn,seed_031,3,0,1867.012207,7.270682545e-05,False
advanced_greedy,0,nullburn,seed_031,2,0,2218.474854,1.914547283e-05,False
advanced_greedy,0,nullburn,seed_032,61,0,1152.132935,1.846393388e-05,False
advanced_greedy,0,nullburn,seed_032,47,0,1383.429443,2.864565431e-06,False
advanced_greedy,0,nullburn,seed_032,38,0,1624.151733,1.5643398e-05,False
advanced_greedy,0,nullburn,seed_032,20,0,2299.554443,4.855379302e-06,False
advanced_greedy,0,nullburn,seed_033,65,0,0.08007365465,7.414441257e-07,False
advanced_greedy,0,nullburn,seed_033,81,0,3.494320393,1.967572189e-06,False
advanced_greedy,0,nullburn,seed_033,86,0,324.3464966,0.0001692188962,False
advanced_greedy,0,nullburn,seed_033,14,0,640.7181396,0.0001063713571,False
advanced_greedy,0,nullburn,seed_033,88,0,1434.852905,1.515602798e-05,False
advanced_greedy,0,nullburn,seed_033,13,0,1847.859131,1.949496254e-05,False
advanced_greedy,0,nullburn,seed_033,87,0,2306.907471,4.916289618e-05,False
advanced_greedy,0,nullburn,seed_034,86,0,386.8507385,2.851436693e-05,False
advanced_greedy,0,nullburn,seed_034,31,0,1120.013428,5.508171307e-05,False
advanced_greedy,0,nullburn,seed_034,87,0,1367.829224,4.614218051e-05,False
advanced_greedy,0,nullburn,seed_034,8,0,1587.107422,8.305351366e-05,False
advanced_greedy,0,nullburn,seed_034,83,0,1634.946899,2.092699106e-05,False
advanced_greedy,0,nullburn,seed_034,80,0,1675.728882,2.314325911e-06,False
advanced_greedy,0,nullburn,seed_034,46,0,2536.881592,4.76742498e-05,False
advanced_greedy,0,nullburn,seed_034,47,0,3354.611328,4.764869118e-06,False
advanced_greedy,0,nullburn,seed_035,46,0,4.589324474,1.699404379e-06,False
advanced_greedy,0,nullburn,seed_035,45,0,381.803894,6.836031389e-05,False
advanced_greedy,0,nullburn,seed_035,44,0,533.7163086,3.495709461e-05,False
advanced_greedy,0,nullburn,seed_035,68,0,782.1808472,1.57938448e-05,False
advanced_greedy,0,nullburn,seed_035,73,0,1559.389648,2.256611424e-06,False
advanced_greedy,0,nullburn,seed_035,57,0,1923.860596,3.092832048e-05,False
advanced_greedy,0,nullburn,seed_035,27,0,2297.707031,2.207590478e-05,False
advanced_greedy,0,nullburn,seed_035,65,0,4193.861328,5.713280189e-05,False
advanced_greedy,0,nullburn,seed_036,19,0,7.24167347,2.428032815e-07,False
advanced_greedy,0,nullburn,seed_036,17,0,240.3783112,6.857819972e-05,False
advanced_greedy,0,nullburn,seed_036,83,0,904.4511108,1.085554049e-05,False
advanced_greedy,0,nullburn,seed_036,76,0,3931.400391,8.549475751e-06,False
